Convocatoria anterior,Código de curso,Curso,Objetivos,Contenidos,Requisitos,Etiquetas,Libros,Moodle_url,Portada,Horas,Descripción,Convocatoria,Curso Escolar,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,3.1,3.2,3.3,3.4,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,6.4,6.5
True,430.0,LIBRE OFFICE WRITER,"Comprender los conceptos código abierto y estándar abierto.
Conocer las posibilidades que ofrece esta suite ofimática de software libre.
 Manejar la interfaz común a todos los productos de LibreOffice.
Saber aplicar y gestionar estilos, plantillas y gráficos a nuestros documentos.
Alcanzar un nivel de desempeño intermedio en el manejo de Writer (procesador de textos",1. Código abierto- estándares abiertos y OpenDocument 2. ¿Qué es LibreOffice? 3. Estilos- plantillas y gráficos. 4. Primeros pasos con Writer: - Interfaz de Writer - Trabajar con texto - Dar formato a textos y páginas - Agregar comentarios - Crear índices y bibliografías - Trabajar con gráficos - Imprimir - Usar combinar correspondencia - Seguir los cambios hechos a un documento - Usar campos - Enlazar a otras partes del documento - Usar documentos maestros - Crear formularios,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/básicas,libreoffice-writer-curso,https://moodle.catedu.es/course/view.php?id=49,https://moodle.catedu.es/pluginfile.php/1334/course/overviewfiles/Libreoffice-writer.png,20.0,"La misión de The Document Foundation es: “...facilitar la evolución de la Comunidad de OpenOffice.org en un nueva estructura organizativa abierta, independiente y meritocrática en los próximos meses.…",1.0,2022-23,A2,A2,A1,B1,A2,,B1,A1,B1,,,,,,,A1,,,,,A1,,
True,455.0,MICROBIT Y SMARTCAR,"•        Conocer las características de este kit de microbit
•        Saber utilizar este kit con lenguaje de programación por bloques orientado para primaria
",MICROBIT: 1.- ¿Qué es la micro:BIT? 2.- ¿Cómo se programa la micro:BIT? 3.- Características. 4.- MakeCode. Primeros pasos. 5 Panel LED. 6 Sensor de temperatura. 7 Sensor de luminosidad. 8 Pulsadores. 9 Acelerómetro. 10 Brújula. 11 Radio. 12 Pines de entrada y salida. MICROCAR: 1 Introduccion. 2 Sensor distancia. 3 Sigue-lineas. 4 Si tuviera 2 micro:BIT.,"*  kit de robótica específico de este curso que se puede ver en los contenidos
 * Disponer de un ordenador con conexión a Internet.
 * Saber navegar por internet, buscar información y descargar y subir archivos
 * Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, añadir mensajes en foros...
 * Conocimientos básicos de Scratch y de Microbit
 * Aunque el curso se repasa de forma muy básica los fundamentos de la electrónica, es requisito conocerlos anteriormente para seguir el curso
",STEAM/Robótica,microbit-curso,https://moodle.catedu.es/course/view.php?id=307,https://moodle.catedu.es/pluginfile.php/43771/course/overviewfiles/microbit-smartcar.jpg,30.0,,1.0,2022-23,A2,A2,A1,B1,A2,,A2,,A1,,,,,,,,,A1,,,,,A1
True,500.0,MOODLE PARA LA ENSEÑANZA,"• Conocer los aspectos básicos de Moodle en su versión 2.5 como herramienta útil en el aula y fuera de ella para encauzar el trabajo de los alumnos y su propio aprendizaje.
• Aprender a montar un curso en Moodle con el rol de ""profesor con permiso de edición"".
• Reflexionar sobre las posibilidades que ofrece Moodle para los docentes.
",Introducción a Moodle 2.5 Aspectos más generales de Moodle. Sus características tanto desde el punto de vista tecnológico como pedagógico y las posibilidades de utilización en el aula. El entorno del curso. El aspecto externo del curso de Móodle - cómo configurar el entorno visual - los bloques - las columnas... Los recursos de Moodle. Dónde encontrar los recursos y cómo integrarlos en un curso. Gestión de los usuarios en Moodle. Gesión de todo lo relacionado con los usuarios y los permisos que se les concede en Moodle. Las actividades de Moodle. Algunas de las posibilidades de introducción de actividades en un curso .Actividades interactivas y actividades de comunicación entre los miembros de un curso. EXeLearning. El calificador de Moodle. Gestión del libro de calificaciones.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/avanzadas,https://libros.catedu.es/books/moodle-para-la-ensenanza,https://moodle.catedu.es/course/view.php?id=374,https://moodle.catedu.es/pluginfile.php/66334/course/overviewfiles/e-learning-3734521_1920.jpg,50.0,Conocer los aspectos básicos de Moodle como herramienta útil en el aula y fuera de ella para encauzar el trabajo de los alumnos y su propio aprendizaje. Aprender a montar un curso en Moodle con el ro…,1.0,2022-23,B1,B1,B1,B1,B1,B1,B1,,B1,B1,B1,B1,B1,B1,B1,,B1,B1,B1,B1,,,
True,520.0,NEUROPSICOLOGÍA. APLICACIÓN EN EL AULA.,"Tomar conciencia de la existencia de estos procesos en sí mismos.
Profundizar en el conocimiento de los procesos perceptivos y cognitivos implicados en el aprendizaje, así como en las manifestaciones de alteraciones en su desarrollo.
Conocer herramientas de intervención que promuevan el desarrollo de las habilidades perceptivas, atencionales, lingüísticas y de funcionamiento ejecutivo.
Adquirir herramientas para la elaboración de planes específicos de actuación psicoeducativa en las dificultades de aprendizaje.
",Bloque 1. Experiencia perceptiva- atención y funciones ejecutivas. Bloque 2. Procesos asociados al desarrollo del lenguaje. Bloque 3. Dificultades de aprendizaje más comunes en el aula.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Metodologías,intef-neuropsicologia-dificultades-aprendizaje,https://moodle.catedu.es/course/view.php?id=209,https://moodle.catedu.es/pluginfile.php/29804/course/overviewfiles/neurons-3743011_1920.jpg,50.0,Este curso está elaborado con la finalidad de proporcionar herramientas específicas para la actuación a nivel psicoeducativo en las principales dificultades de aprendizaje existentes en el contexto e…,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,530.0,NOCIONES DE CARTOGRAFÍA,"El uso de mapas en las actividades senderistas y de montaña debería estar generalizado, y en verdad eso no es así. Llevar un mapa excursionista de la zona a la que vamos a caminar es una responsabilidad de cada uno. El objetivo de este curso es:
Ayudar a entender la cartografía de montaña, para conseguir una práctica más segura.",La Tierra: forma- dimensiones- polos- ecuador- paralelos-meridianos- latitud y longitud- coordenadas geográficas y elipsoide de referencia. Proyecciones: Que son?. Cilíndrica- UTM- los Husos. - Coordenadas UTM - Proyecciones DATUM - Comparativa coordenadas con distintos Datums. Mapas: Que es un mapa- mapa excursionista- fuentes de mapas- directiva INSPIRE europea. Elementos del mapa: - La escala - La leyenda - las coordenadas de los márgenes - La altimetría - Las curvas de nivel - La toponímia - Los iconos - El fondo del mapa Leer el mapa y seguridad en montaña y mapa. La brújula y el GPS Principales errores de los senderistas y montañeros.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Otros,cartografia-para-montaneros,https://moodle.catedu.es/course/view.php?id=167,https://moodle.catedu.es/pluginfile.php/20721/course/overviewfiles/sebastian-garcia-247548-unsplash.jpg,10.0,Curso para aprender nociones de cartografía en montaña.,1.0,2022-23,A2,A2,,A2,A2,,,,A1,,,,,,,,,,,,,,
True,540.0,NOCIONES DE METEOROLOGÍA DE MONTAÑA,"La meteorología de montaña tiene sus particularidades y conocerlas supondrá un plus de seguridad tanto a los que se dirigen a ella como a los que informan sobre ella.
El objetivo de este curso es  entender la meteorología de montaña para conseguir una práctica más segura.",-Tiempo y Clima. -Viento Temperatura y Humedad. -Precipitación y chubascos. -Nubes y tipos de nubes. -Influencias de la montaña en los elementos climáticos. -Información meteorológica y su interpretación. -Meteorología y seguridad en montaña.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Otros,nociones-de-meteorolog-a-de-montana,https://moodle.catedu.es/course/view.php?id=166,https://moodle.catedu.es/pluginfile.php/20714/course/overviewfiles/cumulonimbus-3534816_1920.jpg,10.0,Nociones de meteorología en la montaña.,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,550.0,PON UN ESCORNABOT EN TU VIDA,"Comprender el funcionamiento básico del ESCORNABOT
Aprender su montaje desde la filosofía DIY
Controlar las principales posibilidades de MODIFICAR EL CÓDIGO
Posibilidades de uso didáctico de ESCORNABOT",Introducción. Componentes. Guía de montaje. Instalar programación. Modificar programación. Material para trabajar en clase. Añadir módulo Bluetooth BLE. Programación con mBlock. Pensamiento computacional.,"*  kit de robótica específico de este curso que se puede ver en los contenidos
 * Disponer de un ordenador con conexión a Internet.
 * Saber navegar por internet, buscar información y descargar y subir archivos
 * Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, añadir mensajes en foros...
 * Conocimientos básicos de electricidad
 * Aunque el curso se repasa de forma muy básica los fundamentos de la electrónica, es requisito conocerlos anteriormente para seguir el curso
",STEAM/Robótica,escornabots-curso,https://moodle.catedu.es/course/view.php?id=254,https://moodle.catedu.es/pluginfile.php/34995/course/overviewfiles/IMG-4358-750x350.jpg,30.0,"Escornabot es un proyecto de código abierto que nace en Galicia. Todo empieza en la asociación de makers Bricolabs, allí coinciden tres personas: Tucho Méndez aporta la idea inicial. Xoan Sampaiño di…",1.0,2022-23,B1,B1,B1,B1,B1,,B1,,B1,,B1,,,,,B1,,B1,,,A1,,A1
True,555.0,POSICIONAMIENTO SEO,,1. EL CONCEPTO ¿QUÉ ES SEO? ¿Por qué es importante el SEO? SEO. El gran aliado del docente Glosario SEO: entendiendo el mapa para no perdernos 2. PREPARANDO EL TERRENO SEO On Page Conviértete en un maestro del keyword research Tipos de palabras clave ¿Qué necesitamos para realizar un buen keyword research? Herramientas gratuitas 3. GENERANDO CONTENIDO Sé un estratega y posiciona con tus contenidos Conociendo a la competencia Detecta tus contenidos pilares El calendario editorial: días de publicación El calendario editorial: el documento Pautas de redacción SEO Optimización de URL y de snippets Checklist redacción SEO 4. LINKBUILDING Linkbuilding: haz que te quieran Factores principales a la hora de conseguir enlaces Errores que debemos evitar Tipos de anchor text con los que se puede enlazar: debe haber variedad y ser naturales Técnicas de obtención de enlaces Comandos de google para encontrar foros- blogs- directorios…de la misma temática Google Analytics y Google Search Console: dos herramientas gratuitas y muy potentes 5. YOUTUBE-SEO SEO para youtube Guía SEO para youtube Factores SEO Recursos audiovisuales,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/básicas,https://libros.catedu.es/books/posicionamiento-seo,https://moodle.catedu.es/course/view.php?id=426,https://moodle.catedu.es/pluginfile.php/71208/course/overviewfiles/photo-1560472354-b33ff0c44a43.jpg,50.0,Hay un dicho popular que afirma que si quieres esconder un cadáver el mejor lugar para hacerlo es en la segunda página de google. No alimentes el cementario de los blogs y brilla en las primeras posi…,1.0,2022-23,A2,A2,A2,B1,A2,,A1,,A2,,,,,,,,,A1,,A1,,,
True,560.0,PRÁCTICA SEGURA DE ACTIVIDADES EN ALTA MONTAÑA,"Las actividades de alta montaña suponen un paso más allá, en experiencia y dificultad, a las actividades de senderismo. Asegurar una salida a la alta montaña es una responsabilidad de cada uno. El objetivo de este curso es poder desarrollar esta actividad de forma segura.",-Planificar la actividad en alta montaña. -Equiparse adecuadamente para la alta montaña. -Actuar con prudencia en la alta montaña.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Otros,alta-montana-segura,https://moodle.catedu.es/course/view.php?id=165,https://moodle.catedu.es/pluginfile.php/20706/course/overviewfiles/hiking-2618010_1920.jpg,10.0,Curso para la práctica segura de actividades en la alta montaña.,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,575.0,PREVENCIÓN E INTERVENCIÓN QUE GARANTICE EL BIENESTAR EMOCIONAL EN EL ÁMBITO EDUCATIVO,,1. Autoevaluación y Pautas básicas para el autocuidado psicológico del personal docente 2. Pautas básicas para la comunicación y la escucha 3. Pautas básicas para abordar situaciones de duelo 4. Emociones 5. Técnicas básicas para gestionar la propia ansiedad y la del alumnado 6. Pautas básicas para facilitar la convivencia escolar post-crisis coronavirus 7. Pautas básicas para observar la situación personal del alumnado: aspectos a indagar y formas de hacerlo. 8. Pautas básicas para afrontar la primera clase con el grupo de alumnos y alumnas tras el confinamiento.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Salud y bienestar,,https://moodle.catedu.es/course/view.php?id=925,https://moodle.catedu.es/pluginfile.php/106010/course/overviewfiles/bienestar.jpg,10.0,Curso preventivo de bienestar emocional en momentos de crisis,1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,580.0,PRIMEROS AUXILIOS Y PATOLOGÍAS CRÓNICAS,"• Facilitar la integración en el centro educativo del alumno con una enfermedad crónica
• Orientar al profesorado sobre la atención más conveniente al alumno con una enfermedad crónica, en el proceso diario de convivencia y en situaciones de urgencia
• Educar al docente para en la comprensión y realización de las técnicas de primeros auxilios
• Realizar todas las actuaciones en consenso con las instrucciones de Educación
• Favorecer la integración de estos contenidos en la programación
",- Accidentes y primeros auxilios - Posición lateral de seguridad y reanimación cardiopulmonar básica - Enfermedades crónicas más frecuentes (alergias- asma- cardiopatías congénitas- diabetes- epilepsia) - Botiquín escolar - Trastornos de conducta alimentaria - recomendaciones de actuación en el centro educativo,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Salud y bienestar,https://libros.catedu.es/books/primeros-auxilios-y-patologias-cronicas,https://moodle.catedu.es/course/view.php?id=86,https://moodle.catedu.es/pluginfile.php/6121/course/overviewfiles/first-aid-850489_1920.jpg,40.0,"Realizar este curso te ayudará a integrar al alumno con ciertas enfermedades crónicas, así como orientarte sobre qué actuaciones debes seguir ante ellas, tales como la prevención de complicaciones ag…",1.0,2022-23,A2,A2,,A2,A2,,,,,,,,,,,,,,,,,,
True,585.0,PROFUNDIZAMOS EN EL USO DE Aeducar,Aprender las posibilidades que ofrece la plataforma Moodle de Aeducar,Tema 1. Aspectos avanzados del entorno Aeducar Tema 2. Aspectos avanzados sobre el uso de recursos Tema 3. Aspectos avanzados de Actividades Tema 4. Aspectos avanzados de espacios de trabajo y comunicación,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/avanzadas,,https://moodle.catedu.es/course/view.php?id=920,https://moodle.catedu.es/pluginfile.php/105741/course/overviewfiles/Profundizamos%20en%20el%C2%A0uso%20de%20aeducar%20dcha.jpg,50.0,,1.0,2022-23,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,B1,,B1,B1,B1,B1,B1,,B1
True,600.0,PROGRAMA ARDUINO CON MBLOCK (Scratch)," Conocer las posibilidades didácticas de la placa Arduino
 Pensamiento computacional con el atractivo de la electrónica 
 Imaginación y creatividad con la electrónica asociada a Arduino
Este curso tratamos los conceptos fundamentales para trabajar con el Arduino, empezando desde un nivel muy básico de electrónica con el objetivo de ROMPER EL HIELO en la utilización de esta placa.",Módulo 1: Arduino conectado con mBlock (Scratch) Módulo 2: Circuitos sencillos de electrónica Módulo 3: Circuitos un poco más complejos,"* Es necesario haber realizado una FORMACIÓN BÁSICA EN SCRATCH 
 * kit de robótica específico de este curso que se puede ver en los contenidos
 * Disponer de un ordenador con conexión a Internet.
 * Saber navegar por internet, buscar información y descargar y subir archivos
 * Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, añadir mensajes en foros...
 * Conocimientos básicos de electricidad
 * Aunque el curso se repasa de forma muy básica los fundamentos de la electrónica, es requisito conocerlos anteriormente para seguir el curso
",STEAM/Robótica,https://libros.catedu.es/books/programa-arduino-con-mblock-scratch,https://moodle.catedu.es/course/view.php?id=40,https://moodle.catedu.es/pluginfile.php/1244/course/overviewfiles/arduino-1050655_1920.jpg,20.0,Arduino es una plataforma de electrónica abierta para la creación de prototipos basada en software y hardware flexibles y fáciles de usar. En este capítulo ofrecemos una guía de referencia rápida que…,1.0,2022-23,A2,A2,A1,B1,A2,,B1,,B1,,,,,,,A1,,A1,,,A1,,A1
True,610.0,PROGRAMA ARDUINO MEDIANTE CODIGO,"Conocer las posibilidades del ARDUINO
Realizar montajes básicos con ARDUINO para aprender los conceptos básicos de la electrónica.
Realizar proyectos básicos con ARDUINO como iniciación a la robótica, control y automatismos.
El objetivo principal es la programación y su potencial en elementos elementos de control y automática",- MÓDULO 1 Fundamentos del ARDUINO. - MÓDULO 2 Montajes básicos 5 montajes. - MÓDULO 3 Electrónica analógica 14 montajes. - MÓDULO 4 Electrónica digital 3 montajes. - MÓDULO 5 Comunicaciones 2 montajes Bluetooth Arduino y dispositivos móviles Conectar 2 arduinos - MÓDULO 6 Control y robótica 13 montajes. Infrarrojos siguelineas. Ultrasonidos. Servos. Motores. Sensor temperatura humedad. Ejemplo de proyecto: Parking con barrera y semáforo- apertura por móvil y detección entrada y salida.,"Este curso se desarrolla a distancia a través de Internet.
Es un curso no tutorizado, las actividades evaluadoras se realizan automáticamente en la plataforma.
En el correo de bienvenida se le indicará a dónde tiene que acceder para realizar el curso.
El profesorado participante dispondrá de un entorno de trabajo que le permitirá, con otros materiales, seguir el curso.
El curso dispone de un material de préstamo para poder realizar el curso. 
En el curso se intenta minimizar la electrónica utilizando una SHIELD EDUBASICA pero el curso se puede realizar sin esta Shield.
La certificación de la actividad se realizará, una vez valorados positivamente, el trabajo y las prácticas obligatorias del curso.",STEAM/Robótica,programa-arduino-mediante-codigo,https://moodle.catedu.es/course/view.php?id=111,https://moodle.catedu.es/pluginfile.php/7230/course/overviewfiles/Arduino_led-1.jpg,30.0,Arduino es una plataforma de electrónica abierta para la creación de prototipos basada en software y hardware flexibles y fáciles de usar. En este capítulo ofrecemos una guía de referencia rápida que…,1.0,2022-23,A2,A2,A1,B1,B1,A1,A2,,B1,,,,,,,A2,,A1,,,A1,,A1
True,645.0,PYTHON FOR PERSON IN EVERYBODY,"Instalar Python.
Familiarizarse con el entorno de desarrollo.
Aprender las primeras órdenes y estructuras.
Conocer las diferentes estructuras cíclicas de Python.
Profundizar en los tipos de datos conocidos.
Aprender a utilizar funciones.
Manejar estructuras de datos.
Conocer el uso de Expresiones Regulares.
Crear programas básicos en red.
Aprender Programación Orientada a Objetos.
Saber almacenar datos en Bases de Datos utilizando Python.
",Instalando Python. Variables. Condicionales. Funciones. Bucles. Cadenas. Archivos. Listas. Diccionarios. Tuplas. Regex. Programas en red. Python y servicios web. Objetos. Python y Bases de Datos.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",STEAM/Programación,python-for-person-in-everybody/es/,https://moodle.catedu.es/course/view.php?id=253,https://moodle.catedu.es/pluginfile.php/34475/course/overviewfiles/resumen-python-for.png,50.0,Python para Todos es una introducción a los conceptos básicos de la programación en Python 3 con un énfasis en el uso práctico. Está pensado como una base para los estudiantes que buscan aplicar Pyth…,1.0,2022-23,A2,A2,A1,B1,A2,B1,A1,,A2,,,,,,,,,A1,,,A1,,A1
False,,REALIDAD AUMENTADA,,MÓDULO 1 : Introducción a la Realidad Aumentada 1.1 Historia de la realidad aumentada 1.2 Niveles de realidad aumentada MÓDULO 2 : Creación de contenidos de Realidad Aumentada 2.1 Códigos Q 2.1 ¿Qué es un código QR? 2.2 Generadores de códigos QR 2.3 Aplicaciones didácticas de uso 2.4 Aurasma 2.4.1 ¿Qué es Aurasma? 2.4.2 Aurasma Studio 2.4.3 Características de la plataforma 2.4.4 Aplicaciones didácticas de uso MÓDULO 3 : Material basado en Realidad Aumentada 3.1 Realidad aumentada en Infantil y primaria 3.2 Realidad aumentada en Secundaria y Bachillerato 3.3 Realidad aumentada en otros ámbitos 3.4 Páginas web de realidad aumentada MÓDULO 4 : Geolocalización 4.1 ¿Qué es la geolocalización? 4.2 Geoaumentaty 4.2.1 ¿Qué es? 4.2.2 Características de la plataforma 4.2.3 Creación de rutas geolocalizadas MÓDULO 5 : Realidad Virtual 5.1 Escenarios virtuales,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/avanzadas,introduccion-a-la-realidad-aumentada,https://moodle.catedu.es/course/view.php?id=72,https://moodle.catedu.es/pluginfile.php/620/course/overviewfiles/3d-augmented-reality-medical-315437.jpg,50.0,En este curso descubrimos las posibilidades educativas de los dispositivos móviles para mejorar el proceso de enseñanza aprendizaje a la vez que investigamos el uso didáctico de la Realidad Aumentada…,,,,,,,,,,,,,,,,,,,,,,,,,
True,660.0,REDES SOCIALES EN EDUCACIÓN,"• Conocer diferentes redes sociales.
• Trabajar cinco redes sociales.
• Profundizar en el uso de las redes sociales en   educación.
• Descubrir aplicaciones de las mismas en el ámbito educativo",Introducción. RRSS HORIZONTALES QUE NO PARTICIPAN ALUMNOS. 1 Twitter. 2 Facebook. 3 Blogger. RRSS VERTICALES QUE SI PARTICIPAN ALUMNOS. 4 Edmodo. 5 Google Classroom.,"● Disponer de un ordenador con conexión a Internet.
● Saber navegar por internet, buscar información y descargar y subir archivos
● Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, enviar correos electrónicos con archivos adjuntos, añadir mensajes en foros...",Destrezas digitales/básicas,rrss-classroom,https://moodle.catedu.es/course/view.php?id=99,https://moodle.catedu.es/pluginfile.php/6565/course/overviewfiles/social-media-1795578_1920.jpg,40.0,Las redes sociales se han convertido en algo habitual en nuestro día a día. En este curso queremos presentar diferentes tipos de redes sociales y centrarnos en las que más pueden enriquecer nuestra l…,,,,,,,,,,,,,,,,,,,,,,,,,
True,665.0,ROBÓTICA BBB BUENA BONITA Y BARATA microbit,"Comprender el funcionamiento básico de la MICROBIT: 
Programación por bloques con Makecode
Controlar las principales posibilidades de la MICROBIT para realizar en el aula el pensamiento computacional.",¿Qué es la micro:BIT? ¿Cómo se programa la micro:BIT Características.MakeCode. Primeros pasos. Panel LED. Sensor de temperatura. Sensor de luminosidad. Pulsadores. Acelerómetro. Brújula. Radio. Pines de entrada y salida.,"* Es necesario haber realizado una FORMACIÓN BÁSICA EN SCRATCH 
 * kit de robótica específico de este curso que se puede ver en los contenidos
 * Disponer de un ordenador con conexión a Internet.
 * Saber navegar por internet, buscar información y descargar y subir archivos
 * Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, añadir mensajes en foros...
 * Conocimientos básicos de electricidad
 * Aunque el curso se repasa de forma muy básica los fundamentos de la electrónica, es requisito conocerlos anteriormente para seguir el curso",STEAM/Robótica,microbit-curso,https://moodle.catedu.es/course/view.php?id=304,https://moodle.catedu.es/pluginfile.php/42254/course/overviewfiles/36979004965_8ffd83ec2b_z.jpg,20.0,,1.0,2022-23,A2,A2,A1,B1,A2,,A2,,A1,,,,,,,,,A1,,,,,A1
False,,ROBÓTICA CON RASPBERRY Y PYTHON: ALPHABOT,"Comprender el funcionamiento básico de la Raspberry: Instalación SO y comunicación. 
Manejo de las entradas y salidas de la Pibrella y sus posibilidades utilizando Python",,"* Es necesario haber realizado una FORMACIÓN BÁSICA EN SCRATCH 
 * kit de robótica específico de este curso que se puede ver en los contenidos
 * Disponer de un ordenador con conexión a Internet.
 * Saber navegar por internet, buscar información y descargar y subir archivos
 * Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, añadir mensajes en foros...
 * Conocimientos básicos de electricidad
 * Aunque el curso se repasa de forma muy básica los fundamentos de la electrónica, es requisito conocerlos anteriormente para seguir el curso",STEAM/Robótica,alphabot,https://moodle.catedu.es/course/view.php?id=252,https://moodle.catedu.es/pluginfile.php/33589/course/overviewfiles/portadarover.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,
True,680.0,ROBÓTICA CON RASPBERRY Y SCRATCH: PIBRELLA,"Comprender el funcionamiento básico de la Raspberry: Instalación SO y comunicación. Ver
Manejo de las entradas y salidas de la Pibrella y sus posibilidades utilizando Scratch ver",- Funcionamiento básico Raspbery:. - Generalidades. - Instalación SO Raspbian .- Conexión con Wifi. - Comunicación remota textual por SSH. - Comunicación remota gráfica por VNC. - Pibrella. - Salidas LED: Un semáforo. - Pulsador. - Buzzer. - Entradas interruptor. - Salidas : Un coche teledirigido.,"* Es necesario haber realizado una FORMACIÓN BÁSICA EN SCRATCH 
 * kit de robótica específico de este curso que se puede ver en los contenidos
 * Disponer de un ordenador con conexión a Internet.
 * Saber navegar por internet, buscar información y descargar y subir archivos
 * Conocimientos básicos sobre manejo del ordenador: abrir y cerrar programas, guardar archivos, añadir mensajes en foros...
 * Conocimientos básicos de electricidad
 * Aunque el curso se repasa de forma muy básica los fundamentos de la electrónica, es requisito conocerlos anteriormente para seguir el curso",STEAM/Robótica,pibrella,https://moodle.catedu.es/course/view.php?id=260,https://moodle.catedu.es/pluginfile.php/35585/course/overviewfiles/14331667076_4189c7b045_z.jpg,20.0,Manejar la RASPBPERRY remótamente Programar la RASPBERRY con SCRATCH Con SCRATCH y PRIBRELLA haremos unos ejercicios sencillos de robótica Conocimientos previos Conocimientos BASICOS RASPBERRY aquí S…,1.0,2022-23,B1,B1,A1,B1,B1,,B1,,B1,,,,,,,A1,,A1,,,A1,,A1
